Time [s],Packet ID,MOSI,MISO
2.289836750000000,49,'169' (0xA9),'30' (0x1E)
2.289841500000000,49,'229' (0xE5),'30' (0x1E)
2.289846250000000,49,'31' (0x1F),'30' (0x1E)
2.289851125000000,49,'3' (0x03),'30' (0x1E)
2.289855875000000,49,' ' (0x20),'30' (0x1E)
2.289860625000000,49,'29' (0x1D),'30' (0x1E)
2.289865375000000,49,v (0x76),'30' (0x1E)
2.289870375000000,49,'26' (0x1A),'30' (0x1E)
2.289875125000000,49,'129' (0x81),'30' (0x1E)
2.289879750000000,49,'21' (0x15),'30' (0x1E)
2.289884500000000,49,6 (0x36),'30' (0x1E)
2.289889500000000,49,'156' (0x9C),'30' (0x1E)
2.289894250000000,49,'144' (0x90),'30' (0x1E)
2.289899000000000,49,'174' (0xAE),'30' (0x1E)
2.289903750000000,49,Q (0x51),'30' (0x1E)
2.289908625000000,49,8 (0x38),'30' (0x1E)
2.289913375000000,49,'180' (0xB4),'30' (0x1E)
2.289918125000000,49,'148' (0x94),'30' (0x1E)
2.289922875000000,49,'213' (0xD5),'30' (0x1E)
2.289927875000000,49,'195' (0xC3),'30' (0x1E)
2.289932625000000,49,'226' (0xE2),'30' (0x1E)
2.289937250000000,49,'244' (0xF4),'30' (0x1E)
2.289942000000000,49,'254' (0xFE),'30' (0x1E)
2.289947000000000,49,'204' (0xCC),'30' (0x1E)
2.289951750000000,49,) (0x29),'30' (0x1E)
2.289956500000000,49,'173' (0xAD),'30' (0x1E)
2.289961250000000,49,'229' (0xE5),'30' (0x1E)
2.289987375000000,50,'181' (0xB5),'0' (0x00)
2.388439875000000,51,'182' (0xB6),'0' (0x00)
2.388452875000000,52,o (0x6F),'15' (0x0F)
2.388457125000000,52,'12' (0x0C),'0' (0x00)
2.388462375000000,52,l (0x6C),'15' (0x0F)
2.388476500000000,53,o (0x6F),'15' (0x0F)
2.388480750000000,53,\r (0x0D),'0' (0x00)
2.388486250000000,53,z (0x7A),'15' (0x0F)
2.388500125000000,54,o (0x6F),'15' (0x0F)
2.388504375000000,54,'14' (0x0E),'0' (0x00)
2.388509875000000,54,'225' (0xE1),'15' (0x0F)
2.388525000000000,55,'186' (0xBA),'0' (0x00)
2.388536750000000,56,'180' (0xB4),'0' (0x00)
2.495820000000000,57,'222' (0xDE),' ' (0x20)
2.495824375000000,57,'226' (0xE2),'1' (0x01)
2.495842625000000,58,'239' (0xEF),'16' (0x10)
2.495846875000000,58,r (0x72),'0' (0x00)
2.495852000000000,58,'0' (0x00),G (0x47)
2.896945875000000,59,'239' (0xEF),'15' (0x0F)
2.896950125000000,59,'215' (0xD7),'0' (0x00)
2.896955125000000,59,'0' (0x00),'27' (0x1B)
2.896968750000000,60,'255' (0xFF),'15' (0x0F)
2.896974000000000,60,'0' (0x00),'24' (0x18)
2.896978500000000,60,'0' (0x00),'1' (0x01)
2.896983250000000,60,'0' (0x00),'0' (0x00)
2.896987625000000,60,'0' (0x00),l (0x6C)
2.896992375000000,60,'0' (0x00)," (0x22)
2.896996875000000,60,'0' (0x00),! (0x21)
2.897001625000000,60,'0' (0x00),'208' (0xD0)
2.897006125000000,60,'0' (0x00),'19' (0x13)
2.897010875000000,60,'0' (0x00),'0' (0x00)
2.897015250000000,60,'0' (0x00),'253' (0xFD)
2.897020250000000,60,'0' (0x00),'207' (0xCF)
2.897024750000000,60,'0' (0x00),'250' (0xFA)
2.897029500000000,60,'0' (0x00),I (0x49)
2.897034000000000,60,'0' (0x00),'212' (0xD4)
2.897038750000000,60,'0' (0x00),'213' (0xD5)
2.897043250000000,60,'0' (0x00),o (0x6F)
2.897047875000000,60,'0' (0x00),T (0x54)
2.897052375000000,60,'0' (0x00),'145' (0x91)
2.897057125000000,60,'0' (0x00),$ (0x24)
2.897061625000000,60,'0' (0x00),'8' (0x08)
2.897066375000000,60,'0' (0x00),m (0x6D)
2.897070875000000,60,'0' (0x00),: (0x3A)
2.897075500000000,60,'0' (0x00),\ (0x5C)
2.897080000000000,60,'0' (0x00),$ (0x24)
2.897084750000000,60,'0' (0x00),2 (0x32)
2.897089250000000,60,'0' (0x00),'129' (0x81)
2.897112875000000,61,'182' (0xB6),'0' (0x00)
2.897125875000000,62,o (0x6F),'15' (0x0F)
2.897130125000000,62,'12' (0x0C),'0' (0x00)
2.897135500000000,62,l (0x6C),'15' (0x0F)
2.897149500000000,63,o (0x6F),'15' (0x0F)
2.897154000000000,63,\r (0x0D),'0' (0x00)
2.897159250000000,63,z (0x7A),'15' (0x0F)
2.897173375000000,64,o (0x6F),'15' (0x0F)
2.897177625000000,64,'14' (0x0E),'0' (0x00)
2.897192250000000,64,'225' (0xE1),'15' (0x0F)
2.897207500000000,65,'186' (0xBA),'0' (0x00)
2.905308625000000,66,'182' (0xB6),'16' (0x10)
2.905321875000000,67,o (0x6F),'15' (0x0F)
2.905326125000000,67,'12' (0x0C),'0' (0x00)
2.905331250000000,67,l (0x6C),'15' (0x0F)
2.905345500000000,68,o (0x6F),'15' (0x0F)
2.905349750000000,68,\r (0x0D),'0' (0x00)
2.905355000000000,68,Z (0x5A),'15' (0x0F)
2.905369125000000,69,o (0x6F),'15' (0x0F)
2.905373375000000,69,'14' (0x0E),'0' (0x00)
2.905378625000000,69,'225' (0xE1),'15' (0x0F)
2.905395500000000,70,'186' (0xBA),'0' (0x00)
2.905407250000000,71,'187' (0xBB),'0' (0x00)
2.905419875000000,72,'127' (0x7F),'15' (0x0F)
2.905425125000000,72,/ (0x2F),'15' (0x0F)
2.905430125000000,72,'1' (0x01),'15' (0x0F)
2.905434875000000,72,'0' (0x00),'15' (0x0F)
2.905439625000000,72,l (0x6C),'15' (0x0F)
2.905451500000000,72," (0x22),'15' (0x0F)
2.905456250000000,72,! (0x21),'15' (0x0F)
2.905461000000000,72,'225' (0xE1),'15' (0x0F)
2.905465750000000,72,'27' (0x1B),'15' (0x0F)
2.905470750000000,72,'0' (0x00),'15' (0x0F)
2.905475375000000,72,< (0x3C),'15' (0x0F)
2.905480125000000,72,'167' (0xA7),'15' (0x0F)
2.905484875000000,72,'169' (0xA9),'15' (0x0F)
2.905489875000000,72,'206' (0xCE),'15' (0x0F)
2.905494625000000,72,'141' (0x8D),'15' (0x0F)
2.905499375000000,72,'245' (0xF5),'15' (0x0F)
2.905504125000000,72,'215' (0xD7),< (0x3C)
2.905509500000000,72,v (0x76),< (0x3C)
2.905514250000000,72,y (0x79),< (0x3C)
2.905519000000000,72,'132' (0x84),< (0x3C)
2.905523750000000,72,o (0x6F),< (0x3C)
2.905528750000000,72,'195' (0xC3),< (0x3C)
2.905533500000000,72,'19' (0x13),8 (0x38)
2.905538375000000,72,) (0x29),x (0x78)
2.905543125000000,72,'20' (0x14),x (0x78)
2.905548125000000,72,'188' (0xBC),x (0x78)
2.905552875000000,72,'235' (0xEB),x (0x78)
2.905557625000000,72,'149' (0x95),x (0x78)
2.905562375000000,72,8 (0x38),p (0x70)
2.905567500000000,72,'193' (0xC1),'240' (0xF0)
2.905572250000000,72,Y (0x59),'240' (0xF0)
2.905577000000000,72,'181' (0xB5),'240' (0xF0)
2.905581750000000,72,r (0x72),'240' (0xF0)
2.905586750000000,72,'31' (0x1F),'240' (0xF0)
2.905591500000000,72,'143' (0x8F),'240' (0xF0)
2.905596125000000,72,'186' (0xBA),'240' (0xF0)
2.905600875000000,72,'224' (0xE0),'240' (0xF0)
2.905605875000000,72,L (0x4C),'240' (0xF0)
2.905610625000000,72,'151' (0x97),'240' (0xF0)
2.905615375000000,72,'190' (0xBE),'240' (0xF0)
2.905620125000000,72,'221' (0xDD),'240' (0xF0)
2.905625000000000,72,'203' (0xCB),'240' (0xF0)
2.905629750000000,72,q (0x71),'240' (0xF0)
2.905634500000000,72,'221' (0xDD),'240' (0xF0)
2.905639250000000,72,'230' (0xE6),'240' (0xF0)
2.905644250000000,72,F (0x46),'240' (0xF0)
2.905649000000000,72,'162' (0xA2),'240' (0xF0)
2.905653625000000,72,'185' (0xB9),'240' (0xF0)
2.905670375000000,73,'181' (0xB5),'0' (0x00)
3.002139625000000,74,'239' (0xEF),' ' (0x20)
3.002143750000000,74,q (0x71),'0' (0x00)
3.002148750000000,74,'0' (0x00),'248' (0xF8)
3.002162250000000,75,'239' (0xEF),' ' (0x20)
3.002166500000000,75,r (0x72),'0' (0x00)
3.002171625000000,75,'0' (0x00),G (0x47)
3.004122625000000,76,'182' (0xB6),'0' (0x00)
3.004135500000000,77,o (0x6F),'15' (0x0F)
3.004139750000000,77,'12' (0x0C),'0' (0x00)
3.004145000000000,77,l (0x6C),'15' (0x0F)
3.004159250000000,78,o (0x6F),'15' (0x0F)
3.004163375000000,78,\r (0x0D),'0' (0x00)
3.004168625000000,78,z (0x7A),'15' (0x0F)
3.004182875000000,79,o (0x6F),'15' (0x0F)
3.004187125000000,79,'14' (0x0E),'0' (0x00)
3.004192500000000,79,'225' (0xE1),'15' (0x0F)
3.004207500000000,80,'186' (0xBA),'0' (0x00)
3.403703750000000,81,'182' (0xB6),'16' (0x10)
3.403716875000000,82,o (0x6F),'15' (0x0F)
